Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ,Year
1,Big 12 Conference,10,216,137,0.612,14.82,10.54,4,6,1,"Kansas State, Texas Tech",Iowa State,2019
2,American Athletic Conference,12,239,169,0.586,7.03,4.21,2,4,0,Houston,Cincinnati,2019
3,Southeastern Conference,14,283,197,0.59,12.73,9.29,4,7,1,Louisiana State,Auburn,2019
4,Big East Conference,10,202,142,0.587,9.92,6.96,1,4,0,Villanova,Villanova,2019
5,Big Ten Conference,14,290,195,0.598,15.12,10.82,4,8,1,"Michigan State, Purdue",Michigan State,2019
6,Pac-12 Conference,12,217,181,0.545,7.07,5.25,0,3,0,Washington,Oregon,2019
7,Atlantic 10 Conference,14,235,227,0.509,1.47,0.83,0,2,0,Virginia Commonwealth,Saint Louis,2019
8,West Coast Conference,10,191,142,0.574,4.99,2.24,1,2,0,Gonzaga,Saint Mary's,2019
9,Atlantic Coast Conference,15,316,198,0.615,14.17,9.06,5,7,1,"North Carolina, Virginia",Duke,2019
10,Mid-American Conference,12,226,172,0.568,3.0,1.6,1,1,0,"Buffalo (East), Toledo (West)",Buffalo,2019
11,Colonial Athletic Association,10,163,165,0.497,-4.53,-3.12,0,1,0,Hofstra,Northeastern,2019
12,Ohio Valley Conference,12,190,192,0.497,-5.82,-3.73,0,2,0,"Belmont, Murray State",Murray State,2019
13,Conference USA,14,244,217,0.529,-1.76,-1.1,0,1,0,Old Dominion,Old Dominion,2019
14,Missouri Valley Conference,10,171,159,0.518,-0.69,-0.23,0,1,0,"Drake, Loyola (IL)",Bradley,2019
15,Ivy League,8,132,109,0.548,-1.46,-1.58,0,1,0,"Harvard, Yale",Yale,2019
16,Southland Conference,13,198,217,0.477,-10.05,-6.1,0,1,0,Sam Houston,Abilene Christian,2019
17,Big South Conference,11,181,183,0.497,-6.03,-4.25,0,1,0,"Campbell, Radford",Gardner-Webb,2019
18,Sun Belt Conference,12,204,190,0.518,-1.74,-1.14,0,1,0,Georgia State,Georgia State,2019
19,Patriot League,10,157,163,0.491,-5.57,-4.61,0,1,0,"Bucknell, Colgate",Colgate,2019
20,Mountain West Conference,11,183,175,0.511,1.49,1.12,2,2,0,"Nevada, Utah State",Utah State,2019
21,Atlantic Sun Conference,9,145,155,0.483,-5.36,-2.55,0,1,0,"Liberty, Lipscomb",Liberty,2019
22,Western Athletic Conference,9,161,142,0.531,-3.01,-2.14,0,1,0,New Mexico State,New Mexico State,2019
23,Big Sky Conference,11,170,186,0.478,-8.25,-5.81,0,1,0,Montana,Montana,2019
24,Southern Conference,10,178,150,0.543,-0.71,-0.6,1,1,0,Wofford,Wofford,2019
25,Horizon League,10,158,173,0.477,-3.34,-1.66,0,1,0,"Northern Kentucky, Wright State",Northern Kentucky,2019
26,Metro Atlantic Athletic Conference,11,150,203,0.425,-9.08,-6.58,0,1,0,Iona,Iona,2019
27,America East Conference,9,137,155,0.469,-8.04,-5.55,0,1,0,Vermont,Vermont,2019
