Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ,Year
1,Big 12 Conference,10,202,127,0.614,18.68,12.4,3,4,1,Baylor,Baylor,2019
2,Pac-12 Conference,12,247,151,0.621,20.35,14.91,5,6,1,Oregon,Stanford,2019
3,Big East Conference,10,189,138,0.578,13.24,9.36,1,2,0,Marquette,DePaul,2019
4,American Athletic Conference,12,208,177,0.54,6.21,4.48,1,2,1,Connecticut,Connecticut,2019
5,Atlantic Sun Conference,9,129,147,0.467,-8.31,-5.98,0,1,0,Florida Gulf Coast,Florida Gulf Coast,2019
6,West Coast Conference,10,178,143,0.555,4.16,3.78,1,2,0,Gonzaga,Brigham Young,2019
7,Atlantic Coast Conference,15,308,184,0.626,17.04,11.9,6,8,1,"Louisville, Notre Dame",Notre Dame,2019
8,Southeastern Conference,14,266,188,0.586,15.7,10.56,4,7,0,Mississippi State,Mississippi State,2019
9,Conference USA,14,229,214,0.517,-2.23,-1.81,1,1,0,Rice,Rice,2019
10,Big Ten Conference,14,270,187,0.591,14.85,10.59,2,6,0,Maryland,Iowa,2019
11,Patriot League,10,152,156,0.494,-6.13,-5.66,0,1,0,"American, Bucknell",Bucknell,2019
12,Summit League,9,138,142,0.493,-1.59,0.34,0,2,0,South Dakota State,South Dakota State,2019
13,Atlantic 10 Conference,14,202,235,0.462,-3.1,-1.27,0,1,0,"Fordham, Virginia Commonwealth",Fordham,2019
14,Mid-American Conference,12,219,167,0.567,4.72,2.86,0,2,0,"Central Michigan, Ohio",Buffalo,2019
15,Missouri Valley Conference,10,162,154,0.513,-1.18,-0.67,1,2,0,Drake,Missouri State,2019
16,Sun Belt Conference,12,198,181,0.522,-4.09,-3.33,0,1,0,"Little Rock, UT Arlington",Little Rock,2019
17,Southland Conference,13,190,202,0.485,-12.0,-7.79,0,1,0,Lamar,Abilene Christian,2019
18,Southern Conference,8,109,140,0.438,-9.21,-5.06,0,1,0,Mercer,Mercer,2019
19,Big Sky Conference,11,168,178,0.486,-3.51,-1.31,0,1,0,Idaho,Portland State,2019
20,Mountain West Conference,11,173,173,0.5,1.46,2.19,0,1,0,Boise State,Boise State,2019
21,Horizon League,10,140,167,0.456,-2.62,-0.08,0,1,0,Wright State,Wright State,2019
22,Ohio Valley Conference,12,182,188,0.492,-6.34,-4.3,0,1,0,Belmont,Belmont,2019
23,Big South Conference,11,161,185,0.465,-12.6,-9.51,0,1,0,Radford,Radford,2019
24,Western Athletic Conference,9,118,157,0.429,-11.92,-7.61,0,1,0,New Mexico State,New Mexico State,2019
25,Big West Conference,9,130,147,0.469,-2.85,-0.6,0,1,0,UC Davis,UC Davis,2019
26,America East Conference,9,130,147,0.469,-10.7,-7.19,0,1,0,Maine,Maine,2019
27,Mid-Eastern Athletic Conference,12,151,214,0.414,-17.53,-11.55,0,1,0,North Carolina A&T,Bethune-Cookman,2019
28,Metro Atlantic Athletic Conference,11,151,192,0.44,-11.28,-7.94,0,1,0,Quinnipiac,Quinnipiac,2019
29,Ivy League,8,121,111,0.522,0.56,-0.89,0,1,0,"Pennsylvania, Princeton",Princeton,2019
30,Northeast Conference,10,130,177,0.423,-15.59,-11.54,0,1,0,Robert Morris,Robert Morris,2019
31,Colonial Athletic Association,10,169,149,0.531,-2.9,-3.03,0,1,0,James Madison,Towson,2019
32,Southwest Athletic Conference,10,125,178,0.413,-19.05,-11.81,0,1,0,Southern,Southern,2019
1,Big 12 Conference,10,180,114,0.612,17.71,11.27,1,0,0,Baylor,,2020
2,Pac-12 Conference,12,234,141,0.624,19.87,13.67,6,0,0,Oregon,Oregon,2020
3,Southeastern Conference,14,259,171,0.602,16.62,10.86,5,0,0,South Carolina,South Carolina,2020
4,Atlantic Sun Conference,9,141,132,0.516,-1.71,-1.53,0,0,0,Florida Gulf Coast,,2020
5,Atlantic Coast Conference,15,261,204,0.561,15.04,11.41,3,0,0,Louisville,NC State,2020
6,American Athletic Conference,12,193,177,0.522,6.56,5.57,1,0,0,Connecticut,,2020
7,West Coast Conference,10,163,147,0.526,4.78,3.87,1,0,0,Gonzaga,Portland,2020
8,Missouri Valley Conference,10,163,130,0.556,4.92,3.1,1,0,0,Missouri State,,2020
9,Big East Conference,10,167,143,0.539,9.02,7.1,1,0,0,DePaul,DePaul,2020
10,Conference USA,14,225,193,0.538,-0.15,-0.63,0,0,0,Rice,,2020
11,Atlantic 10 Conference,14,221,211,0.512,0.58,0.26,0,0,0,Dayton,Dayton,2020
12,Big Ten Conference,14,262,172,0.604,17.83,12.63,4,0,0,"Maryland, Northwestern",Maryland,2020
13,Mid-American Conference,12,196,171,0.534,1.74,1.03,0,0,0,"Central Michigan, Kent State, Ohio",,2020
14,Southland Conference,13,188,190,0.497,-11.24,-7.86,0,0,0,Texas A&M-Corpus Christi,,2020
15,Mid-Eastern Athletic Conference,11,141,185,0.433,-14.6,-9.72,0,0,0,Bethune-Cookman,,2020
